Update: 132, Reward_mean: 0.275098737194, Loss: [0.015899635851383209]
Update: 133, Reward_mean: 0.274450997381, Loss: [0.12322799116373062]
Update: 134, Reward_mean: 0.139199119308, Loss: [0.04528987780213356]
Update: 135, Reward_mean: 0.172528905899, Loss: [0.19445320963859558]
Update: 136, Reward_mean: 0.537574205474, Loss: [0.055865079164505005]
Update: 137, Reward_mean: 0.644140141073, Loss: [0.16138914227485657]
Update: 138, Reward_mean: 0.316104087896, Loss: [0.060335922986268997]
Update: 139, Reward_mean: 0.447105917495, Loss: [0.07179984450340271]
Update: 140, Reward_mean: 0.22067657708, Loss: [-0.012481901794672012]
Update: 141, Reward_mean: 0.436536968346, Loss: [-2.1670013666152954e-05]
Update: 142, Reward_mean: 0.639900926099, Loss: [0.047651000320911407]
Update: 143, Reward_mean: 0.704100188154, Loss: [0.073442354798316956]
Update: 144, Reward_mean: 0.662091727728, Loss: [0.0069570392370223999]
Update: 145, Reward_mean: 0.280838849441, Loss: [0.022698134183883667]
Update: 146, Reward_mean: 0.375894992444, Loss: [0.015813061967492104]
Update: 147, Reward_mean: 0.197852977369, Loss: [0.023923318833112717]
Update: 148, Reward_mean: 0.0991208061414, Loss: [0.085500888526439667]
Update: 149, Reward_mean: 0.251909180611, Loss: [0.12318998575210571]
Update: 150, Reward_mean: 0.203438392721, Loss: [0.023530598729848862]
Update: 151, Reward_mean: 0.576858171416, Loss: [0.066060945391654968]
Update: 152, Reward_mean: 0.760706687516, Loss: [0.10524138063192368]
Update: 153, Reward_mean: 0.539460924097, Loss: [0.016621850430965424]
Update: 154, Reward_mean: 0.476287355801, Loss: [-0.009747721254825592]
Update: 155, Reward_mean: 0.214325813308, Loss: [0.078360848128795624]
Update: 156, Reward_mean: 0.165381067049, Loss: [0.025338098406791687]
Update: 157, Reward_mean: 0.258295415814, Loss: [-0.048494130373001099]
Update: 158, Reward_mean: 0.389023362564, Loss: [-0.014467904344201088]
Update: 159, Reward_mean: 0.209648595744, Loss: [0.040909595787525177]
Update: 160, Reward_mean: 0.284074359849, Loss: [0.030808389186859131]
Update: 161, Reward_mean: 0.932118115529, Loss: [0.034866571426391602]
Update: 162, Reward_mean: 0.772143282855, Loss: [0.082483142614364624]
Update: 163, Reward_mean: 0.528986160525, Loss: [-0.0099751800298690796]
Update: 164, Reward_mean: 0.634413149478, Loss: [0.028372438624501228]
Update: 165, Reward_mean: 0.423816876907, Loss: [0.04457981139421463]
Update: 166, Reward_mean: 0.259542693811, Loss: [0.10922275483608246]
Update: 167, Reward_mean: 0.289257534791, Loss: [0.11384401470422745]
Update: 168, Reward_mean: 0.527043381456, Loss: [0.046199660748243332]
Update: 169, Reward_mean: 0.636234869567, Loss: [0.18266955018043518]
Update: 170, Reward_mean: 0.414628112093, Loss: [0.019051019102334976]
Update: 171, Reward_mean: 1.30542440719, Loss: [0.11656935513019562]
Update: 172, Reward_mean: 1.14613282794, Loss: [0.16562731564044952]
Update: 173, Reward_mean: 0.894978152021, Loss: [0.086007669568061829]
